Name,Id,Latitude,Longtitude,Categories,City
The Wisley,4bf9195c5317a5937abf007f,51.318840171445906,-0.4826474043925579,Golf Course,"London, England-0-0"
Ockham Bites,4c172c535e88c92829422566,51.31689269907897,-0.4535411889667623,Café,"London, England-0-0"
Pyrford Golf Club,4c557759a724e21ee3fc1ef8,51.31594709695007,-0.4949432843798266,Golf Course,"London, England-0-0"
Terrace Restaurant,57385044498ed9b3efb33dae,51.315351588367534,-0.473334789276123,Restaurant,"London, England-0-0"
Food Court,5d481c23816c150008c6a819,51.315492,-0.473591,Food Court,"London, England-0-0"
Ockham And Wisley Commons,4cca9a8db7d9a1438faffd36,51.31551214637121,-0.4547958418269726,Park,"London, England-0-0"
Glasshouse Café,4c1f4ce0eac020a1eed74ac2,51.31477843867211,-0.47815562554134483,Café,"London, England-0-0"
Wisley Shop,51b0b4ab498eb2b09f8b5974,51.314674,-0.471898,Gift Shop,"London, England-0-0"
The Glasshouse,4b6ebdb8f964a52094c82ce3,51.314204093593474,-0.4787105947956027,Garden,"London, England-0-0"
RHS Garden Wisley,4b938c5ff964a520d94734e3,51.313881036393134,-0.4732043568212092,Botanical Garden,"London, England-0-0"
Wisley Café,4c39ba273849c92887b4c1b1,51.313806806477245,-0.4723552920527039,Café,"London, England-0-0"
RHS Wisley Playground,4df732a2d1642d7385a5be01,51.312929380864354,-0.47915418756737443,Playground,"London, England-0-0"
Wisley Plant Centre,4c39b42c93db0f476dd22392,51.3130541603328,-0.47248516770009025,Garden Center,"London, England-0-0"
The Honest Sausage,4c710dd7d97fa143abccf7ca,51.3113,-0.4754983625542015,Sausage Shop,"London, England-0-0"
Portsmouth Road Bus Stop,5300cf49498ec9cb23cc681d,51.311307,-0.467219,Bus Stop,"London, England-0-0"
Walsham Weir,50e2e2f6498edccafb3ef272,51.30975669915177,-0.4946101921920583,River,"London, England-0-0"
Effingham Paintballing,5513f878498e44ede8a76397,51.30936955143105,-0.4398393630981445,Paintball Field,"London, England-0-0"
Gregorian Emerson Family Law Solicitors,5a2e414767af3a5a3ae45b2d,51.30983902199266,-0.43480753898620605,Lawyer,"London, England-0-0"
The L&C Company,5cd7bd761ffed7002c5d95ee,51.30891751364483,-0.43039226540713565,Home Service,"London, England-0-0"
Ruins,50f2b681e4b0dbfd23441260,51.30714989641925,-0.5082883594338311,Trail,"London, England-0-0"
High End Carpet Cleaning,5c8602a0acc5f5002c36202f,51.307203150653386,-0.43283877337842114,Laundry Service,"London, England-0-0"
Newark Lock,50e2eac1e4b07dd5f226f639,51.30597616044267,-0.5101663494314975,Scenic Lookout,"London, England-0-0"
Ironbridge Medical Services - Your Medical Couriers and Logistics Specialists,5cb8777a838e59002c1332de,51.305900686129675,-0.4791741370718227,Medical Supply Store,"London, England-0-0"
Dunsborough Park,4c1e3b82b9f876b067bc7e46,51.304483,-0.491149,Garden,"London, England-0-0"
Nutberry Farm Car Boot Sale,4ea3d87af7909c68deb3e8c3,51.304494675171135,-0.48099525490385825,Flea Market,"London, England-0-0"
The Black Swan,4ac518c3f964a52020a420e3,51.304472683327546,-0.4392806734514295,Gastropub,"London, England-0-0"
Dunning and Evans,5c4716aca0215b002b5a39af,51.30271596654796,-0.502474308013916,Construction & Landscaping,"London, England-0-0"
M1 Events LTD,5b9147845ba046002cb91642,51.302844909742824,-0.43411611657711546,Clothing Store,"London, England-0-0"
Seven Stars,4b5328f2f964a520b19027e3,51.302168,-0.509469,Pub,"London, England-0-0"
Surrey Dive Center,4fc4cef3e4b01ac8e1adfa56,51.30161227221383,-0.48992980665915087,Athletics & Sports,"London, England-0-0"
Ripley Crickey Club,4fb695aee4b0998ecca57c68,51.30191248514055,-0.4890350668499275,Athletics & Sports,"London, England-0-0"
The Talbot,4b88bea5f964a5208a0b32e3,51.30129420236742,-0.4893184264890393,Hotel,"London, England-0-0"
